id;label;date;amount;note;check_number;is_up_to_date;deleting_hard_lock;bank_account_id
1;Kwacha;2022-08-16;61653;Venezuela;Plastic port innovat;false;true;1
2;Unbranded Bourgogne;2022-08-17;92024;connecting;Qatar Borders;false;false;2
3;SDD;2022-08-16;53418;pixel local;Rupee b;false;false;3
4;Ergonomic b sensor;2022-08-16;87410;Handcrafted;Implemented synthesi;false;true;4
5;Generic RAM;2022-08-16;21860;Bedfordshire partnerships;Incredible;true;false;5
6;holistic virtual De-engineered;2022-08-17;39907;a THX b;Jamaican FTP Loan;true;true;6
7;Irak orchid Provence-Alpes-Côte;2022-08-16;54871;Chicken SAS Fish;interfaces flexibili;false;false;7
8;Mouse;2022-08-16;43428;initiatives Rhône-Alpes distributed;index;false;true;8
9;haptic dynamic d'Assas;2022-08-17;64068;Franc parsing Chips;system;false;false;9
10;EXE;2022-08-16;88589;Intelligent;Wooden 1080p a;false;true;10
