id;stock_symbol;stock_currency;stock_acquisition_date;stock_shares_number;stock_acquisition_price;stock_current_price;stock_current_date;stock_acquisition_currency_factor;stock_current_currency_factor
1;aX;USD;2022-11-06;35394;25426;60455;2022-11-06;18406;78527
2;Health du ;GBP;2022-11-06;93243;9542;71025;2022-11-06;91548;41713
3;Synchronis;GBP;2022-11-06;71179;73516;16639;2022-11-06;15374;89175
4;Designer h;EUR;2022-11-05;47420;59080;71250;2022-11-06;641;36149
5;Sports b c;GBP;2022-11-06;53975;2046;83917;2022-11-06;90522;64806
6;HDD;GBP;2022-11-06;43015;56352;34744;2022-11-06;83924;61802
7;Angola Rub;EUR;2022-11-06;82401;45193;22375;2022-11-06;78626;3201
8;Account in;GBP;2022-11-06;47212;73614;67310;2022-11-06;41787;52776
9;Fresh Auto;USD;2022-11-06;91282;29852;49012;2022-11-06;45381;54166
10;system Som;EUR;2022-11-06;8220;7960;13212;2022-11-06;47;50192
